idnum, state, state2, stfips, zip, region, typebldg, floor, room, basement, windoor, rep, stratum, wave, starttm, stoptm, startdt, stopdt, activity, pcterr, adjwt, dupflag, zipflag, cntyfips, county
1,CA,CA, 6,94501, 6,1,1,2,N, , 5, 3, 62,0806,0806,012890,013090,     0.4,     0.0,  1457.996099,0,0,  1,ALAMEDA             
2,CA,CA, 6,94501, 6,1,1,1,N, , 1, 3, 85,0845,0845,022290,022490,     1.1,    59.3,  1329.584781,0,0,  1,ALAMEDA             
3,CA,CA, 6,94501, 6,1,1,3,N, , 4, 3,105,1030,1130,032390,032590,    -0.7,     0.0,  1491.014109,0,0,  1,ALAMEDA             
4,CA,CA, 6,94501, 6,1,0,4,Y, , 2, 3,107,1015,2222,040490,040490,     0.2,     0.0,  1636.340558,0,0,  1,ALAMEDA             
5,CA,CA, 6,94536, 6,1,1,3,N, , 4, 3, 92,0810,1110,021590,021790,     2.8,    81.2,  1491.014109,0,0,  1,ALAMEDA             
6,CA,CA, 6,94536, 6,1,1,3,N, , 2, 3,113,0630,0630,042490,042690,    -0.1,     0.0,  1636.340558,0,0,  1,ALAMEDA             
7,CA,CA, 6,94536, 6,1,1,3,N, , 2, 3,116,1200,1200,040490,040490,     1.8,   137.0,  1636.340558,0,0,  1,ALAMEDA             
8,CA,CA, 6,94538, 6,1,1,3,N, , 2, 3, 34,1630,1630,011590,011790,     2.6,    36.0,  1636.340558,0,0,  1,ALAMEDA             
9,CA,CA, 6,94538, 6,1,1,1,N, , 4, 3, 56,0800,0806,012590,012790,     2.0,    33.4,  1491.014109,0,0,  1,ALAMEDA             
10,CA,CA, 6,94539, 6,1,1,1,N, , 5, 3, 40,2030,2040,011990,012190,     1.3,    66.8,  1457.996099,0,0,  1,ALAMEDA             
11,CA,CA, 6,94539, 6,1,1,2,N, , 1, 3,114,0700,0700,041690,041890,     2.5,    51.7,  1329.584781,0,0,  1,ALAMEDA             
12,CA,CA, 6,94541, 6,1,1,3,N, , 2, 3, 23,1015,1015,011390,011590,     1.9,    66.2,  1636.340558,0,0,  1,ALAMEDA             
13,CA,CA, 6,94541, 6,1,1,7,N, , 1, 3, 49,0745,0745,012390,012590,     0.7,    94.0,  1329.584781,0,0,  1,ALAMEDA             
14,CA,CA, 6,94541, 6,1,1,1,N, , 4, 3,115,1700,1800,040490,040490,     0.5,     0.0,  1491.014109,0,0,  1,ALAMEDA             
15,CA,CA, 6,94544, 6,1,1,5,N, , 3, 3, 69,1000,1000,020290,020290,     1.2,    95.1,  1668.978965,0,0,  1,ALAMEDA             
16,CA,CA, 6,94544, 6,1,1,3,N, , 5, 3, 98,0600,0600,030390,030390,     0.0,     0.0,  1457.996099,0,0,  1,ALAMEDA             
17,CA,CA, 6,94544, 6,1,1,1,N, , 2, 3,115,1600,1600,033090,040490,    -0.9,     0.0,  1636.340558,0,0,  1,ALAMEDA             
18,CA,CA, 6,94545, 6,1,1,1,N, , 3, 3, 38,2255,2255,011990,012190,     2.2,    37.3,  1668.978965,0,0,  1,ALAMEDA             
19,CA,CA, 6,94546, 6,1,1,1,N, , 2, 3, 72,1210,1210,021190,021390,     4.0,    18.6,  1636.340558,0,0,  1,ALAMEDA             
20,CA,CA, 6,94546, 6,1,1,3,N, , 4, 3, 94,0830,0830,022390,022590,     1.2,    61.1,  1491.014109,0,0,  1,ALAMEDA             
21,CA,CA, 6,94546, 6,1,1,1,Y, , 5, 3, 92,0700,0700,022790,030390,    -0.2,     0.0,  1457.996099,0,0,  1,ALAMEDA             
22,CA,CA, 6,94550, 6,1,1,1,N, , 4, 3, 28,0800,0800,011290,011490,     1.0,    75.0,  1491.014109,0,0,  1,ALAMEDA             
23,CA,CA, 6,94550, 6,1,1,3,N, , 1, 3, 35,1430,1430,013090,020290,     0.7,   103.8,  1329.584781,0,0,  1,ALAMEDA             
24,CA,CA, 6,94550, 6,1,1,1,N, , 3, 3, 85,0715,0740,022190,022390,     1.7,    40.2,  1668.978965,0,0,  1,ALAMEDA             
25,CA,CA, 6,94550, 6,1,1,1,N, , 2, 3, 98,2030,2032,022290,022490,    -0.9,     0.0,  1636.340558,0,0,  1,ALAMEDA             
26,CA,CA, 6,94550, 6,1,1,7,N, , 5, 3, 76,0815,0815,030390,030390,     0.6,   286.0,  1457.996099,0,0,  1,ALAMEDA             
27,CA,CA, 6,94550, 6,1,1,1,N, , 3, 3,100,0715,0700,032690,032890,     0.3,     0.0,  1668.978965,0,0,  1,ALAMEDA             
28,CA,CA, 6,94555, 6,1,1,7,N, , 1, 3,106,0815,0830,032990,033190,     0.5,     0.0,  1329.584781,0,0,  1,ALAMEDA             
29,CA,CA, 6,94560, 6,0,9,0, , , 1, 3, 10,1015,1015,041190,041390,    -0.5,     0.0,  1329.584781,0,0,  1,ALAMEDA             
30,CA,CA, 6,94566, 6,1,1,3,N, , 5, 3, 91,0930,0900,021390,021590,     1.7,   158.4,  1457.996099,0,0,  1,ALAMEDA             
31,CA,CA, 6,94568, 6,1,1,2,N, , 3, 3,118,0930,0930,041190,041390,     0.3,     0.0,  1668.978965,0,0,  1,ALAMEDA             
32,CA,CA, 6,94577, 6,2,2,3,N, , 5, 3, 28,2100,2135,011590,011790,    -0.4,     0.0,  1457.996099,0,0,  1,ALAMEDA             
33,CA,CA, 6,94577, 6,1,1,3,N, , 4, 3, 41,0845,0845,012890,013090,     0.4,     0.0,  1491.014109,0,0,  1,ALAMEDA             
34,CA,CA, 6,94578, 6,1,1,1,N, , 4, 3, 37,1700,1700,011390,011590,     1.4,    50.3,  1491.014109,0,0,  1,ALAMEDA             
35,CA,CA, 6,94578, 6,0,1,1,N, , 1, 3,105,0800,0800,032290,032490,     0.7,   225.9,  1329.584781,0,0,  1,ALAMEDA             
36,CA,CA, 6,94578, 6,1,1,3,N, , 1, 3,123,1850,1850,040490,041190,     1.2,   114.1,  1329.584781,0,0,  1,ALAMEDA             
37,CA,CA, 6,94579, 6,1,1,1,N, , 2, 3, 53,1235,1235,021090,021290,     0.7,   176.0,  1636.340558,0,0,  1,ALAMEDA             
38,CA,CA, 6,94586, 6,1,1,3,N, , 4, 3, 73,1045,1045,020290,020290,     0.9,   201.1,  1491.014109,0,0,  1,ALAMEDA             
39,CA,CA, 6,94587, 6,1,1,1,N, , 5, 3,123,2200,2200,041990,042190,     0.7,     0.0,  1457.996099,0,0,  1,ALAMEDA             
40,CA,CA, 6,94602, 6,1,0,4,Y, , 4, 3, 80,0715,0720,020290,020290,     1.1,    59.4,  1491.014109,0,0,  1,ALAMEDA             
41,CA,CA, 6,94602, 6,1,0,1,Y, , 3, 3,  8,1322,1517,041090,041290,     0.9,     0.0,  1668.978965,0,0,  1,ALAMEDA             
42,CA,CA, 6,94603, 6,1,1,1,N, , 1, 3, 93,1600,1600,022290,022490,     0.6,   138.1,  1329.584781,0,0,  1,ALAMEDA             
43,CA,CA, 6,94605, 6,1,1,2,N, , 3, 3, 48,0755,0755,012990,013190,     0.3,     0.0,  1668.978965,0,0,  1,ALAMEDA             
44,CA,CA, 6,94605, 6,1,1,3,N, , 4, 3, 82,0800,1800,022790,030390,    -0.8,     0.0,  1491.014109,0,0,  1,ALAMEDA             
45,CA,CA, 6,94611, 6,1,0,2,Y, , 1, 3,113,0500,0505,040490,040490,     1.5,    80.9,  1329.584781,0,0,  1,ALAMEDA             
46,CA,CA, 6,94611, 6,1,0,0,Y, , 5, 3,117,0915,0915,041690,041890,     1.6,    93.9,  1457.996099,0,0,  1,ALAMEDA             
47,CA,CA, 6,94619, 6,1,1,3,N, , 1, 3, 43,0730,0650,012390,012590,     0.3,     0.0,  1329.584781,0,0,  1,ALAMEDA             
48,CA,CA, 6,94619, 6,1,1,1,Y, , 4, 3, 92,1750,1800,021490,021690,     1.1,   170.6,  1491.014109,0,0,  1,ALAMEDA             
49,CA,CA, 6,94619, 6,1,1,3,N, , 5, 3,106,0600,0645,040490,040490,     0.5,     0.0,  1457.996099,0,0,  1,ALAMEDA             
50,CA,CA, 6,94702, 6,1,1,7,Y, , 1, 3, 76,2000,2000,020290,020290,    -0.3,     0.0,  1329.584781,0,0,  1,ALAMEDA             
51,CA,CA, 6,94703, 6,1,0,4,Y, , 4, 3, 45,1030,1730,012690,012890,     1.4,    96.1,  1491.014109,0,0,  1,ALAMEDA             
52,CA,CA, 6,94703, 6,1,0,3,Y, , 4, 3, 70,1000,1000,020290,020290,     0.6,   114.7,  1491.014109,0,0,  1,ALAMEDA             
53,CA,CA, 6,94704, 6,1,1,7,Y, , 2, 3, 41,1100,1100,012490,012690,     0.5,   125.1,  1636.340558,0,0,  1,ALAMEDA             
54,CA,CA, 6,94706, 6,1,1,5,Y, , 5, 3, 87,0750,0755,021190,021390,    -0.4,     0.0,  1457.996099,0,0,  1,ALAMEDA             
55,CA,CA, 6,94706, 6,1,1,7,N, , 5, 3,105,0700,2200,032790,032990,    -0.3,     0.0,  1457.996099,0,0,  1,ALAMEDA             
56,CA,CA, 6,94706, 6,1,1,7,N, , 5, 3,101,0715,0759,042590,042790,    -0.2,     0.0,  1457.996099,0,0,  1,ALAMEDA             
57,CA,CA, 6,94707, 6,1,1,3,N, , 1, 3, 84,1500,1500,020290,021190,     0.1,     0.0,  1329.584781,0,0,  1,ALAMEDA             
58,CA,CA, 6,94707, 6,1,0,2,Y, , 4, 3, 98,1600,1548,031390,031590,     3.4,    62.3,  1491.014109,0,0,  1,ALAMEDA             
59,CA,CA, 6,94708, 6,1,1,2,N, , 4, 3,110,0945,0945,040490,040490,     0.4,     0.0,  1491.014109,0,0,  1,ALAMEDA             
60,CA,CA, 6,94806, 6,1,1,7,N, , 3, 3, 39,1006,1013,012790,012990,     0.1,   419.3,  1668.978965,0,0,  1,ALAMEDA             
61,CA,CA, 6,95612, 5,1,1,1,N, , 1, 1, 74,0905,0925,012990,013190,     2.8,    34.9,   284.937571,0,0,  5,AMADOR              
62,CA,CA, 6,95640, 5,0,9,0, , , 2, 1, 54,0600,0800,021390,021590,    -0.3,     0.0,   296.527672,0,0,  5,AMADOR              
63,CA,CA, 6,95640, 5,1,1,2,N, , 1, 1,102,0930,0930,032890,033090,     0.6,   107.9,   284.937571,0,0,  5,AMADOR              
64,CA,CA, 6,95642, 5,1,1,2,N, , 5, 1, 52,0807,0806,020290,020290,     1.7,    55.1,   299.260544,0,0,  5,AMADOR              
65,CA,CA, 6,95642, 5,1,1,1,N, , 1, 1, 64,1115,1115,012890,013090,     2.9,    24.6,   284.937571,0,0,  5,AMADOR              
66,CA,CA, 6,95642, 5,1,1,1,Y, , 2, 1, 82,0730,0730,020290,020290,     3.6,    20.3,   296.527672,0,0,  5,AMADOR              
67,CA,CA, 6,95666, 5,1,1,3,N, , 2, 1, 45,1910,1915,012490,012690,     1.3,    56.6,   296.527672,0,0,  5,AMADOR              
68,CA,CA, 6,95666, 5,2,1,7,Y, , 2, 1,100,1500,1500,031990,032190,     1.6,    56.0,   296.527672,0,0,  5,AMADOR              
69,CA,CA, 6,95666, 5,1,1,2, , , 3, 1,  2,0900,0900,042590,042790,     1.8,   111.0,   283.746911,0,0,  5,AMADOR              
70,CA,CA, 6,95666, 5,1,1,7,N, , 5, 1,  8,0700,0700,032290,032490,     0.3,     0.0,   299.260544,0,0,  5,AMADOR              
71,CA,CA, 6,95685, 5,1,1,3,Y, , 1, 1, 23,0715,0815,011390,011590,     0.3,     0.0,   284.937571,0,0,  5,AMADOR              
72,CA,CA, 6,95685, 5,1,0,3,N, , 1, 1, 54,1400,1400,020290,020290,     0.9,   144.5,   284.937571,0,0,  5,AMADOR              
73,CA,CA, 6,95685, 5,1,0,4,Y, , 3, 1, 73,1300,1300,020290,021190,     3.9,    41.6,   283.746911,0,0,  5,AMADOR              
74,CA,CA, 6,95685, 5,1,1,3,N, , 2, 1,106,0630,0630,040490,040490,     0.4,     0.0,   296.527672,0,0,  5,AMADOR              
75,CA,CA, 6,95689, 5,1,1,2,N, , 2, 1,  3,1145,1300,041090,041390,    -0.2,     0.0,   296.527672,0,0,  5,AMADOR              
76,CA,CA, 6,95917, 3,1,1,1,N, , 3, 2, 42,1000,1000,012290,012490,    -0.2,     0.0,   450.077922,0,0,  7,BUTTE               
77,CA,CA, 6,95926, 3,1,1,3,N, , 1, 2, 30,0700,0700,011690,011890,     0.5,     0.0,   458.878705,0,0,  7,BUTTE               
78,CA,CA, 6,95926, 3,1,1,2,N, , 2, 2, 25,1800,1810,011090,011290,     0.9,    80.4,   400.387846,0,0,  7,BUTTE               
79,CA,CA, 6,95926, 3,1,1,3,N, , 1, 2, 60,1930,1930,020290,020290,    -3.0,     0.0,   458.878705,0,0,  7,BUTTE               
80,CA,CA, 6,95926, 3,1,1,3,N, , 5, 2, 78,0730,0850,020290,020290,     1.1,    73.0,   409.005619,0,0,  7,BUTTE               
81,CA,CA, 6,95926, 3,1,1,3,N, , 3, 2, 94,0900,0910,021390,021590,    -0.1,     0.0,   450.077922,0,0,  7,BUTTE               
82,CA,CA, 6,95926, 3,1,1,2,N, , 2, 2, 95,1100,1100,021790,021990,     1.4,   103.9,   400.387846,0,0,  7,BUTTE               
83,CA,CA, 6,95926, 3,1,0,4,Y, , 5, 2, 96,0930,0940,021990,022190,     1.8,    49.5,   409.005619,0,0,  7,BUTTE               
84,CA,CA, 6,95926, 3,1,1,3,N, , 1, 2, 99,0800,0800,031590,031790,     0.5,   109.2,   458.878705,0,0,  7,BUTTE               
85,CA,CA, 6,95926, 3,1,1,2,N, , 1, 2,102,0630,0645,032190,032390,     1.5,    49.9,   458.878705,0,0,  7,BUTTE               
86,CA,CA, 6,95926, 3,1,1,7,N, , 1, 2,116,0800,0805,040490,040490,    -0.1,     0.0,   458.878705,0,0,  7,BUTTE               
