idnum, state, state2, stfips, zip, region, typebldg, floor, room, basement, windoor, rep, stratum, wave, starttm, stoptm, startdt, stopdt, activity, pcterr, adjwt, dupflag, zipflag, cntyfips, county
1,AL,AL, 1,36067, 6,1,1,3, ,C, 0, 6, 11,1730,1730,022487,022687,     0.4,     0.0,   395.145068,0,0,  1,AUTAUGA             
2,AL,AL, 1,36067, 6,1,1,3, ,C, 0, 6, 26,2220,0130,022487,022887,     0.6,    31.5,   453.339921,0,0,  1,AUTAUGA             
3,AL,AL, 1,36067, 6,1,1,1, ,C, 0, 6, 29,0840,0840,030387,030387,     1.5,    11.2,   395.145068,0,0,  1,AUTAUGA             
4,AL,AL, 1,36067, 6,1,0,7, ,C, 0, 6,  8,1436,1436,022787,030387,     6.3,     4.6,   395.145068,0,0,  1,AUTAUGA             
5,AL,AL, 1,36067, 6,1,1,3, ,C, 0, 6, 29,1800,1600,030387,030387,     0.2,     0.0,   376.809515,0,0,  1,AUTAUGA             
6,AL,AL, 1,36067, 6,1,1,2, ,C, 0, 6, 45,1800,1800,031087,031287,     0.3,     0.0,   576.036994,0,0,  1,AUTAUGA             
7,AL,AL, 1,36067, 6,1,1,1, ,C, 0, 6, 23,2100,2100,032287,032487,     2.6,     8.0,   453.339921,0,0,  1,AUTAUGA             
8,AL,AL, 1,36067, 6,1,1,1, ,C, 0, 6, 60,1230,1330,040487,040487,     1.1,    13.3,   458.517741,0,0,  1,AUTAUGA             
9,AL,AL, 1,36749, 6,2,1,1, ,C, 0, 6,  2,1130,1130,022187,022387,     0.4,     0.0,   395.145068,0,0,  1,AUTAUGA             
10,AL,AL, 1,36507, 7,1,1,3, ,C, 0, 6,  4,2000,2000,021787,021987,     0.9,    27.6,   395.145068,0,0,  3,BALDWIN             
11,AL,AL, 1,36507, 7,1,1,1, ,C, 0, 6, 25,2000,2000,060687,060687,     0.6,    48.9,   458.517741,0,0,  3,BALDWIN             
12,AL,AL, 1,36507, 7,1,1,3, ,C, 0, 6, 55,1800,1800,042787,042987,     0.7,    23.4,   576.036994,1,0,  3,BALDWIN             
13,AL,AL, 1,36526, 7,1,1,2, ,C, 0, 6,  9,2030,2030,022487,022687,     6.3,     5.6,   458.517741,0,0,  3,BALDWIN             
14,AL,AL, 1,36526, 7,1,1,1, ,C, 0, 6, 10,1945,1945,030387,030387,     0.9,    19.4,   576.036994,0,0,  3,BALDWIN             
15,AL,AL, 1,36526, 7,1,1,1, ,C, 0, 6, 21,1500,1600,022887,030387,     0.3,     0.0,   395.145068,0,0,  3,BALDWIN             
16,AL,AL, 1,36526, 7,1,1,3, ,C, 0, 6, 39,0800,0830,031987,032187,     1.0,    20.4,   376.809515,0,0,  3,BALDWIN             
17,AL,AL, 1,36526, 7,1,1,2, ,C, 0, 6, 15,1000,1130,040487,040487,     0.6,    18.9,   453.339921,0,0,  3,BALDWIN             
18,AL,AL, 1,36526, 7,1,1,1, ,C, 0, 6, 25,1230,1230,032087,032287,     1.1,    17.6,   376.809515,0,0,  3,BALDWIN             
19,AL,AL, 1,36526, 7,1,1,3, , , 0, 6, 62,0600,1800,050587,050587,     0.1,     0.0,   453.339921,0,0,  3,BALDWIN             
