idnum, state, state2, stfips, zip, region, typebldg, floor, room, basement, windoor, rep, stratum, wave, starttm, stoptm, startdt, stopdt, activity, pcterr, adjwt, dupflag, zipflag, cntyfips, county
1,AR,AR, 5,72003, 4,2,1,1,N, , 5, 2, 85,1145,1145,020291,021391,     0.3,   120.6,   298.208860,0,0,  1,ARKANSAS            
2,AR,AR, 5,72042, 4,1,1,2,N, , 1, 2, 25,0730,0730,011691,012391,     2.8,    16.2,   258.788573,0,0,  1,ARKANSAS            
3,AR,AR, 5,72042, 4,1,1,2,N, , 3, 2, 22,0700,0700,011791,012491,     0.5,    62.6,   257.192501,0,0,  1,ARKANSAS            
4,AR,AR, 5,72042, 4,1,1,1,N, , 3, 2, 31,1600,0800,011791,012691,     1.1,    21.5,   257.192501,0,0,  1,ARKANSAS            
5,AR,AR, 5,72042, 4,1,1,1,N, , 4, 2, 53,1615,1651,012591,020291,     0.7,    47.0,   293.458218,0,0,  1,ARKANSAS            
6,AR,AR, 5,72042, 4,1,1,1,N, , 4, 2, 75,2200,2200,020291,021291,     1.0,    29.6,   293.458218,0,0,  1,ARKANSAS            
7,AR,AR, 5,72160, 4,1,1,1,N, , 2, 2, 32,0700,0700,011791,012491,     0.7,    55.9,   282.037507,0,0,  1,ARKANSAS            
8,AR,AR, 5,72160, 4,1,1,2,N, , 5, 2, 47,1330,1330,012391,013091,     0.1,   338.3,   298.208860,0,0,  1,ARKANSAS            
9,AR,AR, 5,72160, 4,1,1,1,N, , 2, 2, 60,1100,1100,012791,020291,     1.8,    43.6,   282.037507,0,0,  1,ARKANSAS            
10,AR,AR, 5,72160, 4,1,1,1,N, , 3, 2,  9,1126,1130,041891,042591,    -0.1,     0.0,   257.192501,0,0,  1,ARKANSAS            
11,AR,AR, 5,72160, 4,1,1,1,N, , 1, 2,  9,1800,1230,030391,031691,     0.5,    91.1,   258.788573,0,0,  1,ARKANSAS            
12,AR,AR, 5,71635, 4,1,1,7,N, , 4, 2, 37,0800,0800,012191,012891,     0.1,   211.8,   293.458218,0,0,  3,ASHLEY              
13,AR,AR, 5,71635, 4,1,1,1,N, , 1, 2, 37,1220,1635,012391,020291,     1.4,    21.6,   258.788573,0,0,  3,ASHLEY              
14,AR,AR, 5,71635, 4,0,9,0, , , 3, 2,  5,1200,1200,030391,031691,     0.1,   307.5,   257.192501,0,0,  3,ASHLEY              
